Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:15:55,2019-02-26 08:15:58,"2,427s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""tabela"", [""xpath"":""//td[3]""]), 15)",Chrome 72.0.3626.109,Kliknij wiersz pierwszy w tabeli,2019-02-26 08:15:58,2019-02-26 08:15:58,"0,359s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""button"", [""xpath"":""//div[@id='obi_zastepstwa_akceptacja_actions_akceptacja']/div""]), 15)",Chrome 72.0.3626.109,Kliknij button akceptacja,2019-02-26 08:15:58,2019-02-26 08:15:58,"0,338s",PASSED
Thread.sleep(500),Chrome 72.0.3626.109,,2019-02-26 08:15:58,2019-02-26 08:15:59,"0,502s",PASSED
"setText(findTestObject(""pole tekstowe"", [""xpath"":""//input[@id='obi_zastepstwa_instancja_akceptacji_uwagi']""]), ""Akceptacja trzecia osoba"")",Chrome 72.0.3626.109,,2019-02-26 08:15:59,2019-02-26 08:16:00,"0,850s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""button"", [""xpath"":""//input[@id='btnInstancjaakceptacjiSaveChanges']""]), 15)",Chrome 72.0.3626.109,Kliknij button Zapisz,2019-02-26 08:16:00,2019-02-26 08:16:00,"0,300s",PASSED
SprawdzCzyJestAkceptacja(),Chrome 72.0.3626.109,,2019-02-26 08:16:00,2019-02-26 08:16:00,"0,001s",PASSED
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:16:00,2019-02-26 08:16:01,"0,585s",PASSED
"help_pack.Logowanie.zaloguj(""admin"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:16:01,2019-02-26 08:16:07,"6,412s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Menu glowne belka gorna/przyciski glowne na belce gornej/Zastepstwa i wnioski""), 10)",Chrome 72.0.3626.109,,2019-02-26 08:16:07,2019-02-26 08:16:07,"0,340s",PASSED
"click(findTestObject(""hsi_pl_login/Menu glowne belka gorna/Podmenu zastepstwa i wnioski/Lista (Definiowane)""))",Chrome 72.0.3626.109,,2019-02-26 08:16:07,2019-02-26 08:16:08,"0,587s",PASSED
"help_pack.Set_text_and_press_enter.set_text(findTestObject(""hsi_pl_login/Obiekty A i L/Obiekty dodatkowe do test_001/Do pola nazwisko""), ""Wojciechowski"")",Chrome 72.0.3626.109,,2019-02-26 08:16:08,2019-02-26 08:16:15,"7,328s",PASSED
Thread.sleep(200),Chrome 72.0.3626.109,,2019-02-26 08:16:15,2019-02-26 08:16:16,"0,212s",PASSED
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:16:16,2019-02-26 08:16:16,"0,526s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Obiekty Ludwik/Obiekty dodatkowe do test_001/Wiersz pierwszy w tabela Stanwiska""), 5)",Chrome 72.0.3626.109,,2019-02-26 08:16:16,2019-02-26 08:16:16,"0,366s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Obiekty Ludwik/Obiekty dodatkowe do test_001/wiersz pierwszy w tabela Zastepstwa""), 5)",Chrome 72.0.3626.109,,2019-02-26 08:16:16,2019-02-26 08:16:17,"0,887s",PASSED
